time_spent,app_switches,hour_of_day,day_of_week,violations,session_gap,previous_usage,focus_sessions,addiction_score,relapse_risk,label,interaction_intensity,discipline_score,usage_pressure,night_flag
22,4,11,6,1,29,70,1,2.46,0,distracted,88,5,2.3333333333333335,0
18,6,13,1,0,30,108,5,1.7399999999999998,1,focused,108,50,3.4838709677419355,0
149,15,20,1,3,9,123,3,10.469999999999999,0,addicted,2235,15,12.3,0
159,9,5,0,3,11,134,2,9.569999999999999,0,focused,1431,5,11.166666666666666,0
316,32,2,4,4,9,180,1,19.880000000000003,0,addicted,10112,-10,18.0,1
159,15,8,1,1,11,155,2,8.77,0,distracted,2385,15,12.916666666666666,0
201,20,4,0,3,4,341,0,13.030000000000001,0,distracted,4020,-15,68.2,1
263,33,23,1,2,4,164,0,16.49,0,addicted,8679,-10,32.8,1
23,1,16,2,0,57,109,3,0.8899999999999999,1,distracted,23,30,1.8793103448275863,0
60,2,13,4,1,35,92,2,3.2,1,focused,120,15,2.5555555555555554,0
36,12,20,3,1,8,55,3,4.4799999999999995,1,focused,432,25,6.111111111111111,0
245,34,2,1,4,1,323,1,18.15,0,distracted,8330,-10,161.5,1
194,15,0,2,2,3,239,1,10.819999999999999,0,addicted,2910,0,59.75,1
88,10,19,3,2,24,161,3,6.640000000000001,0,addicted,880,20,6.44,0
138,3,20,3,0,12,105,1,4.74,1,focused,414,10,8.076923076923077,0
365,22,22,6,5,7,176,0,20.35,0,addicted,8030,-25,22.0,1
291,32,0,1,2,5,310,1,17.130000000000003,0,addicted,9312,0,51.666666666666664,1
306,26,2,0,4,5,197,1,18.380000000000003,1,addicted,7956,-10,32.833333333333336,1
23,7,17,1,1,50,104,1,3.09,0,focused,161,5,2.0392156862745097,0
59,6,9,2,1,34,88,3,3.97,0,focused,354,25,2.5142857142857142,0
37,17,21,3,2,19,154,1,6.51,0,addicted,629,0,7.7,0
375,29,2,1,2,1,183,1,19.05,0,distracted,10875,0,91.5,1
122,4,7,0,1,26,87,1,5.46,0,addicted,488,5,3.2222222222222223,0
65,6,13,6,0,39,94,5,3.15,0,distracted,390,50,2.35,0
391,27,23,1,3,1,320,0,20.130000000000003,0,distracted,10557,-15,160.0,1
13,5,17,4,0,53,103,1,1.3900000000000001,0,distracted,65,10,1.9074074074074074,0
29,3,14,6,0,56,113,1,1.47,0,focused,87,10,1.9824561403508771,0
38,13,21,0,3,26,113,1,6.74,0,distracted,494,-5,4.185185185185185,0
370,23,22,2,2,2,220,0,17.7,0,distracted,8510,-10,73.33333333333333,1
251,13,1,3,2,2,176,0,12.129999999999999,0,addicted,3263,-10,58.666666666666664,1
64,4,9,1,1,25,71,2,3.72,0,focused,256,15,2.730769230769231,0
175,26,1,0,2,8,167,1,12.45,0,addicted,4550,0,18.555555555555557,1
48,5,16,6,1,36,88,2,3.44,0,distracted,240,15,2.3783783783783785,0
127,6,7,4,2,11,195,1,7.01,0,distracted,762,0,16.25,0
312,13,0,0,3,1,201,1,14.959999999999999,0,distracted,4056,-5,100.5,1
107,11,8,5,2,19,125,1,7.409999999999999,0,focused,1177,0,6.25,0
29,3,10,4,1,27,74,1,2.4699999999999998,0,focused,87,5,2.642857142857143,0
112,5,21,6,1,26,175,0,5.36,0,distracted,560,-5,6.481481481481482,0
74,7,15,2,1,37,26,1,4.62,1,distracted,518,5,0.6842105263157895,0
85,14,6,3,1,7,163,0,6.35,1,focused,1190,-5,20.375,0
79,5,9,6,0,20,100,5,3.37,0,distracted,395,50,4.761904761904762,0
180,31,22,2,5,1,249,1,16.6,0,addicted,5580,-15,124.5,1
306,32,2,1,4,5,220,1,19.580000000000002,0,distracted,9792,-10,36.666666666666664,1
77,6,17,0,1,35,80,3,4.51,0,focused,462,25,2.2222222222222223,0
200,14,23,5,5,6,299,1,13.8,0,addicted,2800,-15,42.714285714285715,1
67,6,12,4,0,37,15,5,3.2099999999999995,1,focused,402,50,0.39473684210526316,0
164,17,6,4,3,5,85,0,11.319999999999999,0,addicted,2788,-15,14.166666666666666,0
188,11,3,0,4,1,229,0,11.84,0,addicted,2068,-20,114.5,1
38,2,12,5,0,34,76,5,1.54,1,focused,76,50,2.1714285714285713,0
180,9,19,0,2,22,92,2,9.2,0,addicted,1620,10,4.0,0
299,15,0,1,4,7,239,1,15.969999999999999,0,addicted,4485,-10,29.875,1
126,12,7,2,2,19,100,3,8.18,0,addicted,1512,20,5.0,0
41,7,13,6,1,46,37,1,3.63,0,focused,287,5,0.7872340425531915,0
67,2,15,4,0,55,80,5,2.4099999999999997,0,focused,134,50,1.4285714285714286,0
31,7,13,1,1,52,84,2,3.3299999999999996,0,focused,217,15,1.5849056603773586,0
47,1,11,2,0,43,49,1,1.61,1,focused,47,10,1.1136363636363635,0
159,11,18,1,3,21,66,0,9.969999999999999,0,distracted,1749,-15,3.0,0
322,30,22,5,2,2,332,0,17.66,0,addicted,9660,-10,110.66666666666667,1
27,2,14,4,1,39,110,5,2.21,0,focused,54,45,2.75,0
276,13,1,6,3,4,269,1,13.88,0,addicted,3588,-5,53.8,1
324,24,1,0,4,5,396,0,18.52,0,distracted,7776,-20,66.0,1
273,23,22,0,5,1,231,1,17.79,0,addicted,6279,-15,115.5,1
71,19,21,2,3,5,125,0,8.93,0,focused,1349,-15,20.833333333333332,0
78,5,18,6,3,24,149,0,6.34,0,distracted,390,-15,5.96,0
129,18,21,3,3,26,111,0,10.469999999999999,0,focused,2322,-15,4.111111111111111,0
173,10,21,5,0,11,141,1,7.19,0,distracted,1730,10,11.75,0
52,2,16,2,1,33,80,1,2.96,0,focused,104,5,2.3529411764705883,0
92,5,19,3,3,8,51,1,6.76,0,addicted,460,-5,5.666666666666667,0
53,1,9,1,0,33,97,2,1.7899999999999998,0,focused,53,20,2.8529411764705883,0
77,6,5,5,3,6,136,2,6.51,0,focused,462,5,19.428571428571427,0
57,4,14,1,1,39,29,3,3.5099999999999993,0,distracted,228,25,0.725,0
69,4,21,6,3,8,127,3,5.87,1,focused,276,15,14.11111111111111,0
15,5,10,4,1,55,31,2,2.45,0,focused,75,15,0.5535714285714286,0
341,30,4,5,4,8,220,1,20.23,0,addicted,10230,-10,24.444444444444443,1
274,30,0,3,4,5,197,0,18.22,0,addicted,8220,-20,32.833333333333336,1
160,7,7,4,2,25,86,0,8.2,0,distracted,1120,-10,3.3076923076923075,0
46,10,20,0,0,29,60,1,3.38,0,addicted,460,10,2.0,0
44,7,11,3,1,33,19,4,3.72,0,focused,308,35,0.5588235294117647,0
43,1,11,2,1,36,26,3,2.4899999999999998,0,focused,43,25,0.7027027027027027,0
387,16,4,0,5,2,255,0,19.81,1,addicted,6192,-25,85.0,1
48,4,6,0,3,21,123,1,5.24,0,focused,192,-5,5.590909090909091,0
386,34,3,2,4,9,151,1,22.380000000000003,0,distracted,13124,-10,15.1,1
39,18,5,5,3,8,155,3,7.7700000000000005,1,distracted,702,15,17.22222222222222,0
30,4,12,0,1,49,48,4,2.7,0,distracted,120,35,0.96,0
158,8,19,6,1,26,93,1,7.340000000000001,1,focused,1264,5,3.4444444444444446,0
15,1,14,3,0,57,33,3,0.65,1,focused,15,30,0.5689655172413793,0
367,15,2,4,2,9,275,0,16.009999999999998,0,addicted,5505,-10,27.5,1
339,34,22,0,5,9,329,1,21.97,0,distracted,11526,-15,32.9,1
104,4,7,3,0,24,175,2,3.9200000000000004,0,focused,416,20,7.0,0
62,4,19,1,1,19,133,2,3.6599999999999993,0,addicted,248,15,6.65,0
27,6,15,3,1,43,81,5,3.0100000000000002,0,distracted,162,45,1.8409090909090908,0
61,1,12,4,0,21,67,2,2.0300000000000002,0,distracted,61,20,3.0454545454545454,0
49,1,17,3,1,38,91,5,2.67,0,focused,49,45,2.3333333333333335,0
63,1,9,2,1,43,43,5,3.09,0,focused,63,45,0.9772727272727273,0
141,7,18,4,1,26,62,2,6.63,1,focused,987,15,2.2962962962962963,0
67,2,16,5,0,31,11,3,2.4099999999999997,0,focused,134,30,0.34375,0
377,14,23,1,4,8,353,1,18.11,0,distracted,5278,-10,39.22222222222222,1
102,17,18,2,0,17,54,2,6.459999999999999,0,addicted,1734,20,3.0,0
300,23,22,5,3,8,276,0,16.6,0,addicted,6900,-15,30.666666666666668,1
374,24,4,3,5,4,234,1,21.02,0,addicted,8976,-15,46.8,1
55,7,20,4,2,25,172,3,5.05,1,focused,385,20,6.615384615384615,0
223,25,22,1,4,5,255,0,15.689999999999998,0,distracted,5575,-20,42.5,1
126,11,8,2,3,9,77,3,8.98,1,focused,1386,15,7.7,0
67,6,11,5,0,57,77,5,3.2099999999999995,0,focused,402,50,1.3275862068965518,0
130,12,20,5,2,29,192,1,8.3,0,focused,1560,0,6.4,0
301,28,0,1,3,6,153,0,17.630000000000003,0,addicted,8428,-15,21.857142857142858,1
334,21,0,6,3,4,250,0,17.22,1,addicted,7014,-15,50.0,1
52,3,14,3,1,53,114,4,3.16,0,focused,156,35,2.111111111111111,0
326,19,1,1,5,4,218,1,18.580000000000002,0,addicted,6194,-15,43.6,1
46,18,21,5,2,28,139,0,6.9799999999999995,0,focused,828,-10,4.793103448275862,0
13,1,15,0,0,28,77,2,0.5900000000000001,0,distracted,13,20,2.6551724137931036,0
155,17,7,2,2,19,97,2,10.05,1,distracted,2635,10,4.85,0
58,4,12,1,1,35,66,5,3.54,0,distracted,232,45,1.8333333333333333,0
187,6,20,6,2,26,162,1,8.809999999999999,1,addicted,1122,0,6.0,0
243,26,0,5,5,7,362,1,17.49,1,addicted,6318,-15,45.25,1
67,7,15,3,1,39,88,4,4.409999999999999,0,focused,469,35,2.2,0
174,7,6,5,0,23,94,1,6.619999999999999,0,focused,1218,10,3.9166666666666665,0
138,22,4,3,5,7,398,1,13.540000000000001,0,distracted,3036,-15,49.75,1
98,12,21,1,3,14,90,0,8.34,0,focused,1176,-15,6.0,0
129,15,22,3,4,3,298,1,10.87,1,distracted,1935,-10,74.5,1
197,30,2,4,3,5,198,0,14.91,0,distracted,5910,-15,33.0,1
71,7,11,4,1,59,47,3,4.529999999999999,0,focused,497,25,0.7833333333333333,0
42,5,15,4,1,52,71,5,3.2600000000000002,1,distracted,210,45,1.3396226415094339,0
137,12,18,6,2,10,106,0,8.51,0,addicted,1644,-10,9.636363636363637,0
211,25,4,6,5,7,265,1,16.330000000000002,1,addicted,5275,-15,33.125,1
34,17,21,0,1,29,142,2,5.42,1,distracted,578,15,4.733333333333333,0
12,2,13,6,0,54,114,3,0.76,0,focused,24,30,2.0727272727272728,0
174,29,4,1,5,2,362,1,16.02,1,addicted,5046,-15,120.66666666666667,1
75,3,14,5,0,26,72,2,2.85,0,distracted,225,20,2.6666666666666665,0
26,3,16,5,0,21,72,4,1.3800000000000001,0,focused,78,40,3.272727272727273,0
48,4,13,0,1,23,111,1,3.2399999999999998,0,distracted,192,5,4.625,0
58,11,19,6,3,23,63,0,6.94,1,distracted,638,-15,2.625,0
387,27,4,3,2,8,352,0,19.009999999999998,1,distracted,10449,-10,39.111111111111114,1
41,4,11,0,0,34,37,4,2.03,0,distracted,164,40,1.0571428571428572,0
29,1,15,3,0,20,19,3,1.0699999999999998,0,focused,29,30,0.9047619047619048,0
27,6,15,3,1,46,101,2,3.0100000000000002,1,focused,162,15,2.148936170212766,0
111,14,20,2,3,26,120,3,9.129999999999999,0,focused,1554,15,4.444444444444445,0
166,11,6,5,1,12,84,1,8.18,0,focused,1826,5,6.461538461538462,0
123,16,3,4,5,9,305,1,11.89,0,distracted,1968,-15,30.5,1
278,32,0,6,5,4,274,1,19.74,0,distracted,8896,-15,54.8,1
336,10,4,3,4,9,244,1,16.080000000000002,0,addicted,3360,-10,24.4,1
265,11,22,2,3,1,345,0,13.15,0,addicted,2915,-15,172.5,1
43,6,9,5,1,57,54,2,3.4899999999999998,0,focused,258,15,0.9310344827586207,0
44,16,21,4,1,22,150,1,5.5200000000000005,1,focused,704,5,6.521739130434782,0
193,28,4,3,4,1,156,0,15.39,0,addicted,5404,-20,78.0,1
350,33,3,3,2,4,283,0,19.1,0,addicted,11550,-10,56.6,1
338,22,1,0,4,5,173,1,18.54,1,addicted,7436,-10,28.833333333333332,1
32,6,19,0,0,9,103,2,2.16,0,focused,192,20,10.3,0
49,5,9,5,1,33,22,3,3.47,0,focused,245,25,0.6470588235294118,0
128,19,18,4,0,6,126,3,7.640000000000001,0,focused,2432,30,18.0,0
141,24,0,3,4,7,216,0,13.030000000000001,1,addicted,3384,-20,27.0,1
188,29,23,5,4,7,162,0,15.440000000000001,0,distracted,5452,-20,20.25,1
132,33,4,5,3,1,206,1,13.559999999999999,0,addicted,4356,-5,103.0,1
44,3,12,1,1,24,99,3,2.92,0,focused,132,25,3.96,0
235,11,3,6,4,8,180,0,13.25,0,addicted,2585,-20,20.0,1
79,1,15,0,0,51,29,1,2.57,0,focused,79,10,0.5576923076923077,0
318,16,23,4,2,6,274,0,14.739999999999998,0,distracted,5088,-10,39.142857142857146,1
11,6,15,3,1,44,88,4,2.5300000000000002,0,focused,66,35,1.9555555555555555,0
168,29,22,5,2,6,263,0,12.84,0,distracted,4872,-10,37.57142857142857,1
362,19,1,3,4,2,236,0,18.66,0,distracted,6878,-20,78.66666666666667,1
37,2,16,1,1,32,50,3,2.5100000000000002,0,distracted,74,25,1.5151515151515151,0
74,15,19,4,2,11,96,0,7.220000000000001,0,focused,1110,-10,8.0,0
345,30,23,5,4,3,286,1,20.35,0,distracted,10350,-10,71.5,1
60,7,11,3,1,22,73,5,4.2,0,distracted,420,45,3.1739130434782608,0
67,3,17,0,0,52,30,2,2.61,0,focused,201,20,0.5660377358490566,0
242,10,2,6,4,3,184,0,13.26,0,distracted,2420,-20,46.0,1
162,15,0,1,5,3,340,0,12.86,0,distracted,2430,-25,85.0,1
188,18,0,4,3,2,337,1,12.24,0,addicted,3384,-5,112.33333333333333,1
105,6,18,1,1,25,98,2,5.35,0,addicted,630,15,3.769230769230769,0
14,6,10,0,1,40,118,2,2.62,0,focused,84,15,2.8780487804878048,0
191,14,4,4,3,1,293,0,11.53,0,distracted,2674,-15,146.5,1
22,7,11,1,0,40,75,3,2.06,0,distracted,154,30,1.829268292682927,0
293,34,2,2,4,8,157,0,19.589999999999996,0,addicted,9962,-20,17.444444444444443,1
140,17,0,0,4,6,340,0,11.6,0,addicted,2380,-20,48.57142857142857,1
177,23,0,0,4,2,398,0,13.91,0,addicted,4071,-20,132.66666666666666,1
183,12,7,0,0,26,129,3,7.890000000000001,0,focused,2196,30,4.777777777777778,0
32,1,9,2,1,48,89,4,2.16,0,focused,32,35,1.816326530612245,0
38,3,10,2,0,47,101,5,1.7399999999999998,0,focused,114,50,2.1041666666666665,0
45,1,11,3,0,21,34,1,1.55,1,distracted,45,10,1.5454545454545454,0
51,4,12,5,0,22,15,5,2.3299999999999996,0,focused,204,50,0.6521739130434783,0
67,2,11,6,1,42,11,4,3.4099999999999993,0,focused,134,35,0.2558139534883721,0
33,4,13,1,0,20,90,3,1.7899999999999998,0,distracted,132,30,4.285714285714286,0
224,24,1,3,4,7,224,1,15.52,0,distracted,5376,-10,28.0,1
183,15,18,1,0,28,84,3,8.49,1,distracted,2745,30,2.896551724137931,0
25,3,17,6,0,34,25,1,1.35,0,focused,75,10,0.7142857142857143,0
337,28,2,5,5,5,376,0,20.71,0,addicted,9436,-25,62.666666666666664,1
222,18,22,2,3,2,364,0,13.26,1,distracted,3996,-15,121.33333333333333,1
16,1,16,5,1,52,110,2,1.6800000000000002,0,distracted,16,15,2.0754716981132075,0
161,6,7,2,3,17,50,3,9.03,0,focused,966,15,2.7777777777777777,0
63,4,9,6,0,44,89,2,2.69,0,focused,252,20,1.9777777777777779,0
141,33,1,5,4,4,250,0,14.830000000000002,0,addicted,4653,-20,50.0,1
198,4,18,3,0,8,177,3,6.74,0,distracted,792,30,19.666666666666668,0
83,19,8,4,3,23,122,2,9.290000000000001,0,addicted,1577,5,5.083333333333333,0
171,3,6,3,2,11,51,2,7.7299999999999995,1,focused,513,10,4.25,0
201,25,3,1,5,7,163,0,16.03,0,distracted,5025,-25,20.375,1
135,12,20,3,2,21,118,0,8.45,0,focused,1620,-10,5.363636363636363,0
27,1,17,6,1,48,87,1,2.0100000000000002,0,focused,27,5,1.7755102040816326,0
38,7,12,0,0,23,91,2,2.54,0,focused,266,20,3.7916666666666665,0
23,3,10,1,0,57,54,2,1.2899999999999998,0,distracted,69,20,0.9310344827586207,0
177,25,23,5,2,9,379,0,12.309999999999999,0,distracted,4425,-10,37.9,1
211,29,3,1,2,8,193,1,14.13,0,addicted,6119,0,21.444444444444443,1
188,15,20,4,0,14,81,0,8.64,0,focused,2820,0,5.4,0
323,12,3,2,3,9,179,0,15.089999999999998,1,addicted,3876,-15,17.9,1
55,4,9,5,0,32,112,4,2.45,0,focused,220,40,3.393939393939394,0
249,31,4,1,2,2,245,1,15.669999999999998,0,addicted,7719,0,81.66666666666667,1
135,14,8,5,1,28,176,0,7.85,0,addicted,1890,-5,6.068965517241379,0
374,15,23,5,3,7,216,0,17.22,0,distracted,5610,-15,27.0,1
172,15,2,5,4,1,191,1,12.16,0,addicted,2580,-10,95.5,1
27,5,16,2,1,59,61,4,2.81,0,distracted,135,35,1.0166666666666666,0
233,20,2,6,4,8,247,0,14.989999999999998,0,addicted,4660,-20,27.444444444444443,1
34,3,15,3,0,30,88,3,1.6199999999999999,0,focused,102,30,2.838709677419355,0
145,28,3,5,5,2,319,0,14.95,0,addicted,4060,-25,106.33333333333333,1
25,7,17,0,0,45,105,4,2.15,0,focused,175,40,2.282608695652174,0
78,1,16,6,1,24,31,5,3.54,0,focused,78,45,1.24,0
126,13,6,4,1,22,166,1,7.38,0,addicted,1638,5,7.217391304347826,0
273,25,23,2,2,1,315,1,15.189999999999998,0,addicted,6825,0,157.5,1
285,19,22,1,5,2,304,0,17.35,0,addicted,5415,-25,101.33333333333333,1
366,15,4,2,3,6,395,1,16.98,1,addicted,5490,-5,56.42857142857143,1
23,6,11,1,0,42,57,2,1.89,0,distracted,138,20,1.3255813953488371,0
19,5,16,2,0,28,88,4,1.5699999999999998,1,focused,95,40,3.0344827586206895,0
170,11,22,1,4,6,280,0,11.3,1,distracted,1870,-20,40.0,1
57,1,12,5,0,22,91,1,1.9099999999999997,0,focused,57,10,3.9565217391304346,0
258,34,22,3,3,4,346,0,17.54,0,addicted,8772,-15,69.2,1
329,21,2,1,2,9,279,0,16.07,1,distracted,6909,-10,27.9,1
128,6,8,1,2,27,107,1,7.040000000000001,0,addicted,768,0,3.8214285714285716,0
24,4,16,0,0,35,83,1,1.52,0,distracted,96,10,2.3055555555555554,0
11,7,16,1,1,57,40,3,2.73,1,focused,77,25,0.6896551724137931,0
107,18,19,0,0,25,116,1,6.81,0,focused,1926,10,4.461538461538462,0
30,1,15,4,0,40,36,2,1.1,0,focused,30,20,0.8780487804878049,0
73,6,21,5,3,17,66,2,6.39,0,distracted,438,5,3.6666666666666665,0
12,4,12,0,0,31,75,5,1.16,1,focused,48,50,2.34375,0
128,19,18,3,1,28,143,1,8.64,1,focused,2432,5,4.931034482758621,0
40,3,16,6,0,21,113,1,1.8,0,focused,120,10,5.136363636363637,0
220,30,3,5,3,5,329,0,15.6,0,addicted,6600,-15,54.833333333333336,1
70,6,11,0,1,44,11,1,4.3,0,distracted,420,5,0.24444444444444444,0
96,3,8,5,0,23,54,0,3.4799999999999995,0,focused,288,0,2.25,0
86,5,18,5,3,9,71,2,6.58,0,focused,430,5,7.1,0
12,4,11,5,0,39,40,5,1.16,0,focused,48,50,1.0,0
45,14,8,4,0,17,88,0,4.15,0,focused,630,0,4.888888888888889,0
141,17,6,3,3,13,177,1,10.629999999999999,0,distracted,2397,-5,12.642857142857142,0
24,4,13,2,0,24,95,1,1.52,0,distracted,96,10,3.8,0
175,9,19,2,3,9,109,2,10.05,0,distracted,1575,5,10.9,0
58,16,18,0,2,21,82,0,6.94,0,focused,928,-10,3.727272727272727,0
67,6,14,5,0,39,39,3,3.2099999999999995,0,distracted,402,30,0.975,0
32,6,15,0,1,52,112,2,3.16,1,focused,192,15,2.1132075471698113,0
46,8,20,4,2,28,150,1,4.9799999999999995,0,focused,368,0,5.172413793103448,0
321,33,4,4,2,1,229,0,18.23,0,addicted,10593,-10,114.5,1
131,12,2,1,2,5,327,0,8.33,0,addicted,1572,-10,54.5,1
50,6,11,4,1,46,29,1,3.7,0,focused,300,5,0.6170212765957447,0
90,8,19,1,2,24,152,0,6.3,1,distracted,720,-10,6.08,0
74,4,20,3,2,19,75,0,5.0200000000000005,1,focused,296,-10,3.75,0
374,33,3,0,4,1,291,1,21.82,0,distracted,12342,-10,145.5,1
53,15,20,6,2,26,140,0,6.590000000000001,0,focused,795,-10,5.185185185185185,0
156,18,22,3,5,3,213,1,13.280000000000001,0,distracted,2808,-15,53.25,1
39,5,15,4,1,54,116,3,3.17,0,distracted,195,25,2.109090909090909,0
129,14,6,3,2,15,150,0,8.669999999999998,0,addicted,1806,-10,9.375,0
35,4,12,3,1,39,24,4,2.85,1,focused,140,35,0.6,0
52,13,20,3,3,28,172,3,7.159999999999999,0,addicted,676,15,5.931034482758621,0
64,6,9,4,1,33,83,3,4.12,0,distracted,384,25,2.4411764705882355,0
137,14,6,6,2,25,127,3,8.91,0,focused,1918,20,4.884615384615385,0
30,2,13,5,0,34,92,5,1.3,0,focused,60,50,2.6285714285714286,0
270,22,4,3,2,4,369,1,14.5,0,addicted,5940,0,73.8,1
220,30,2,1,3,2,246,1,15.6,0,addicted,6600,-5,82.0,1
162,11,22,4,3,6,355,0,10.059999999999999,0,addicted,1782,-15,50.714285714285715,1
75,2,10,3,0,42,38,1,2.65,0,focused,150,10,0.8837209302325582,0
23,4,10,6,1,36,41,3,2.4899999999999998,0,focused,92,25,1.1081081081081081,0
33,6,17,5,1,59,56,3,3.19,0,focused,198,25,0.9333333333333333,0
27,4,14,4,1,47,113,4,2.6100000000000003,1,focused,108,35,2.3541666666666665,0
20,6,11,2,1,54,102,2,2.8,0,focused,120,15,1.8545454545454545,0
53,10,8,5,1,26,102,3,4.59,1,focused,530,25,3.7777777777777777,0
58,2,9,1,1,27,112,2,3.1399999999999997,0,focused,116,15,4.0,0
49,4,11,3,0,58,101,5,2.27,1,focused,196,50,1.7118644067796611,0
34,7,16,6,1,47,78,3,3.4200000000000004,0,focused,238,25,1.625,0
177,18,5,2,3,15,153,2,11.91,0,focused,3186,5,9.5625,0
139,4,6,6,1,23,107,0,5.97,0,addicted,556,-5,4.458333333333333,0
57,5,13,2,1,44,87,4,3.7099999999999995,1,focused,285,35,1.9333333333333333,0
36,2,12,4,0,23,28,4,1.48,0,focused,72,40,1.1666666666666667,0
190,18,7,2,1,23,79,1,10.3,1,focused,3420,5,3.2916666666666665,0
57,2,9,1,1,25,116,3,3.11,0,focused,114,25,4.461538461538462,0
31,11,8,1,2,6,142,0,5.13,1,addicted,341,-10,20.285714285714285,0
69,1,17,0,0,25,117,5,2.27,0,focused,69,50,4.5,0
354,29,1,1,2,8,181,0,18.419999999999998,0,distracted,10266,-10,20.11111111111111,1
217,18,4,5,5,7,312,1,15.11,0,addicted,3906,-15,39.0,1
203,27,4,2,2,3,339,0,13.49,0,addicted,5481,-10,84.75,1
51,13,5,1,3,12,88,2,7.13,0,distracted,663,5,6.769230769230769,0
165,7,18,4,2,12,83,3,8.35,0,distracted,1155,20,6.384615384615385,0
190,17,7,6,1,24,167,3,10.1,0,focused,3230,25,6.68,0
30,2,15,6,0,24,19,3,1.3,0,focused,60,30,0.76,0
66,7,12,0,1,27,19,1,4.38,0,distracted,462,5,0.6785714285714286,0
131,19,0,6,2,1,326,0,9.73,0,addicted,2489,-10,163.0,1
68,16,21,2,2,28,153,0,7.24,0,focused,1088,-10,5.275862068965517,0
59,14,19,0,3,7,126,3,7.57,0,distracted,826,15,15.75,0
77,4,16,2,1,26,31,5,4.109999999999999,0,distracted,308,45,1.1481481481481481,0
122,9,6,4,3,11,177,2,8.459999999999999,1,distracted,1098,5,14.75,0
64,7,12,0,1,44,33,4,4.32,0,focused,448,35,0.7333333333333333,0
212,27,3,3,5,8,356,0,16.759999999999998,0,addicted,5724,-25,39.55555555555556,1
320,32,3,5,5,9,226,0,21.0,0,addicted,10240,-25,22.6,1
151,13,5,5,1,9,190,3,8.129999999999999,0,distracted,1963,25,19.0,0
76,9,18,2,2,10,116,1,6.08,0,distracted,684,0,10.545454545454545,0
17,1,11,6,1,46,42,1,1.7100000000000002,0,distracted,17,5,0.8936170212765957,0
155,18,21,3,3,27,155,0,11.25,1,distracted,2790,-15,5.535714285714286,0
143,18,6,0,0,20,68,3,7.890000000000001,0,focused,2574,30,3.238095238095238,0
62,5,9,3,0,55,99,4,2.86,0,focused,310,40,1.7678571428571428,0
108,11,18,3,2,14,189,3,7.44,0,addicted,1188,20,12.6,0
35,14,6,6,2,24,111,0,5.85,0,addicted,490,-10,4.44,0
215,29,2,0,3,8,270,1,15.25,0,distracted,6235,-5,30.0,1
29,5,12,4,0,28,67,3,1.8699999999999999,0,distracted,145,30,2.310344827586207,0
31,3,12,6,1,33,48,5,2.53,1,focused,93,45,1.411764705882353,0
42,7,17,3,0,53,80,2,2.66,0,focused,294,20,1.4814814814814814,0
75,9,19,3,1,29,180,2,5.05,0,focused,675,15,6.0,0
73,14,7,4,1,21,108,1,5.99,0,distracted,1022,5,4.909090909090909,0
74,14,8,3,2,21,187,2,7.0200000000000005,1,distracted,1036,10,8.5,0
63,6,6,3,0,21,153,1,3.09,0,distracted,378,10,6.954545454545454,0
201,30,0,3,4,3,196,1,16.03,0,distracted,6030,-10,49.0,1
299,25,2,5,4,7,326,0,17.97,0,addicted,7475,-20,40.75,1
64,1,12,6,0,55,30,5,2.12,0,distracted,64,50,0.5357142857142857,0
16,7,16,1,1,36,102,1,2.88,0,distracted,112,5,2.7567567567567566,0
131,12,23,6,4,4,377,1,10.33,1,addicted,1572,-10,75.4,1
348,16,0,4,5,1,289,1,18.639999999999997,0,addicted,5568,-15,144.5,1
157,15,5,3,2,6,152,2,9.709999999999999,0,distracted,2355,10,21.714285714285715,0
104,4,20,6,0,20,126,0,3.9200000000000004,0,addicted,416,0,6.0,0
48,9,5,5,1,12,126,0,4.24,1,distracted,432,-5,9.692307692307692,0
79,5,11,4,1,26,112,3,4.37,1,focused,395,25,4.148148148148148,0
75,3,12,2,1,25,66,5,3.85,0,focused,225,45,2.5384615384615383,0
34,1,12,6,0,20,15,2,1.22,0,focused,34,20,0.7142857142857143,0
74,5,14,2,0,39,74,4,3.22,0,focused,370,40,1.85,0
60,19,20,3,2,18,142,3,7.6,0,addicted,1140,20,7.473684210526316,0
34,2,15,5,0,41,14,4,1.42,0,focused,68,40,0.3333333333333333,0
147,7,21,5,2,29,63,3,7.81,0,addicted,1029,20,2.1,0
173,16,20,6,3,28,133,0,11.39,0,focused,2768,-15,4.586206896551724,0
28,1,10,4,1,34,95,4,2.04,0,focused,28,35,2.7142857142857144,0
232,22,4,4,2,5,367,0,13.36,0,addicted,5104,-10,61.166666666666664,1
271,12,3,5,4,3,212,0,14.530000000000001,0,addicted,3252,-20,53.0,1
131,21,2,4,2,1,189,0,10.129999999999999,1,addicted,2751,-10,94.5,1
150,4,18,5,1,14,156,3,6.3,1,distracted,600,25,10.4,0
72,15,19,6,0,10,114,1,5.159999999999999,0,distracted,1080,10,10.363636363636363,0
34,5,17,1,0,45,81,3,2.02,0,focused,170,30,1.7608695652173914,0
79,6,14,5,0,20,69,4,3.5700000000000003,0,focused,474,40,3.2857142857142856,0
41,12,8,2,1,11,188,3,4.63,0,focused,492,25,15.666666666666666,0
27,1,16,4,1,43,82,5,2.0100000000000002,0,focused,27,45,1.8636363636363635,0
24,3,13,5,0,50,79,3,1.3199999999999998,0,focused,72,30,1.5490196078431373,0
